ID,Title,Medium_Picture,Large_Picture,Mean,Rank,Popularity,Genres,Synopsis
92191,Hagane no Shirousagi,https://cdn.myanimelist.net/images/manga/1/162038.webp,https://cdn.myanimelist.net/images/manga/1/162038l.webp,,46820.0,49193,"Action, Fantasy, Girls Love","The story takes place in a world name Esperite Umol, in the Bastia Continent, where people still could feel the existences of Gods. A knight squad make its name known around the continent there, its name The Metal White Rabbit Squad. Its members consist only of beautiful young maidens. They are strong, and more importantly they are all beauties.  At the present time, a girl named Gabriela swears to her late mother to become the member of the squad. But to her surprise, the trials to enter the squad are all things she never imagined before. The trial events are... races, treasure hunting??? What would happen with the trial...?  (Source: jCafe)"
124973,Tsuihousha Shokudou e Youkoso!,https://cdn.myanimelist.net/images/manga/3/227798.webp,https://cdn.myanimelist.net/images/manga/3/227798l.webp,6.85,11361.0,24097,Fantasy,"Backstabbed by those he considered friends, Dennis has been exiled from one of the strongest guilds around: the Silver Wings Battalion. He doesn't think much of it, though, as he was dying to use his level 99 cooking skills anyway. That's why he decides to leave the city behind and open up a diner in the countryside.  While pursuing his dream, Dennis meets Atrielle, a girl exiled from her noble household and relegated to slavery until he saves her.  The pair open the diner together, and their first client is... an exiled knight from a different guild? How peculiar. But she is not the only customer; a cocky mage and a drastically overworked yet underpaid sage become regulars as well.  The knight brings trouble to the diner at times, but Dennis's cooking skills and beloved butcher knives cut through trouble and hunger alike!  Thus begins the legend of Dennis and his diner, the talk of the town!  (Source: Tentai Books)"
60341,Mori no Majuu ni Hanataba wo,https://cdn.myanimelist.net/images/manga/2/159503.jpg,https://cdn.myanimelist.net/images/manga/2/159503l.jpg,,42176.0,35779,"Fantasy, Romance","In a world dominated by swords and magic, Cleo lives his lonely life where he believes painting is his sole purpose to life. Since Cleo was born in a noble family, he must prove himself worthy to become the family's successor by participating in a certain trail. As he enters the forbidden forest, Cleo encounters a beast that is half human and half plant. After being easily captured by the beast that resembles a human girl, Cleo plans his escape by attracting the beast’s interest and keeping Cleo alive. Out of his expectations, the time they spent living with each other made him feel unbelievably relieved. However their calming daily life did not last very long…  A human and monster love story. A heartwarming fantasy tale.  (Source: Shogakukan, translated)"
112293,Toaru Majutsu no Index: Gaiten Shoko,https://cdn.myanimelist.net/images/manga/3/279587.webp,https://cdn.myanimelist.net/images/manga/3/279587l.webp,,29530.0,40587,"Action, Comedy, Sci-Fi, Super Power","Volume 1: 1. Kanzaki Kaori-hen 2. ""Necessarius"" Tokubetsu-hennyuu Shiken-hen 3. Road to Endymion  Volume 2: 1. Gakugei Toshi-hen 2. Nouryoku Jitsuen Ryokou-hen 3. Cold Game"
99235,Akuyaku Tensei dakedo Doushite Kou Natta.,https://cdn.myanimelist.net/images/manga/3/235250.webp,https://cdn.myanimelist.net/images/manga/3/235250l.webp,,48917.0,45263,"Drama, Fantasy, Josei, Villainess","Eliza Kaldia, who reincarnated as a noble girl villainess in a fantasy otome game, was stuck in a world that seemed far from her image of how noble girls should be living, as the fated events of the game were still far off while she remained a child. In the first place, it was suspect if she could even live to make it to the school setting of the game. Due to changes in the situation of the neighboring country which never appeared in the original game, the world became nothing like the flowery school life from the game. It was a world where even young girls had to take up weapons. How did it turn out this way...?  I don't have any cheat-like abilities. I can't use magic. My sense of ethics might have become a little twisted due to being reincarnated.  (Source: Shousetsuka ni Narou, translated)"
50117,Kyoukai no Kanata,https://cdn.myanimelist.net/images/manga/1/88513.jpg,https://cdn.myanimelist.net/images/manga/1/88513l.jpg,7.93,914.0,3032,"Fantasy, Slice of Life, Supernatural","The dark fantasy follows a high school sophomore named Akihito Kanbara. Although the boy appears human, he is half yōmu and invulnerable to wounds because he can heal quickly. One day, Akihito meets freshman Mirai Kuriyama when it seems she is about to jump from the school rooftop. Mirai is isolated because of her ability to manipulate blood, which is unique even among members of the spirit world. Disturbing events begin to unfold after Akihito saves Mirai.  (Source: ANN)"
108572,Boukensha A no Himatsubushi,https://cdn.myanimelist.net/images/manga/1/201067.jpg,https://cdn.myanimelist.net/images/manga/1/201067l.jpg,,52068.0,47866,"Ecchi, Fantasy, Harem, Romance",
29733,Rurouni Kenshin: Meiji Kenkaku Romantan - Maki no Ni,https://cdn.myanimelist.net/images/manga/3/48927.jpg,https://cdn.myanimelist.net/images/manga/3/48927l.jpg,7.58,2410.0,13736,"Action, Drama, Historical, Samurai","It retells stories featured in the manga and anime series.  The novel is composed of two short stories, both already published in the manga: Yahiko's Fight and Black Hat.  In the first story, Yaahiko in order to protect the young Tsubame, has to face a group of dangerous outlaws. At first, he is defeated, but his samurai pride doesn't allow him to give up. So he faces those men again, ending up with a strategy that allows him to turn the advantage in his favor.  In the second story, the protagonists are Udou Jinne, a former Shinsengumi, and Kenshin. In order to force Himura to fight against him, Jinne kidnaps Kaoru and using Nikaido, a sort of hypnotic technique, he puts her in a condition of being incapable of breathing. This awakes Kenshin's fury, and the two samurai will have to fight a death match.  (Source: RK Sword of Justice)"
108386,Enoch Dainibutai no Ensei Gohan,https://cdn.myanimelist.net/images/manga/2/199356.jpg,https://cdn.myanimelist.net/images/manga/2/199356l.jpg,,52026.0,41616,"Fantasy, Gourmet","Despite being born as a Fore Elf—one of the ""beautiful creatures that inhabit the forest""—young Mell Risurisu suffers from poverty, a total lack of skills, and no magic powers whatsoever at her disposal. Determined to save her beloved little sisters from a life of hardship, Mell decides to join Enoch—the royal order of knights. Upon being assigned as a field medic to the Second Expeditionary Squadron, which boasts only four members to its name, she's shocked to discover...  Bread as hard as stone and rubbery jerky made of mystery meat?!  This simply won't do! Medic Risurisu's knowledge as a child of the forest is her greatest weapon in the battle for delicious food on the go!  (Source: Cross Infinite World)"
125312,Akuyaku Reijou wa Dannasama wo Yasesasetai,https://cdn.myanimelist.net/images/manga/3/239984.jpg,https://cdn.myanimelist.net/images/manga/3/239984l.jpg,,31725.0,36205,"Fantasy, Romance, Villainess",
